Node,Skill,Tier,MinAgency,MaxAgency,Prerequisite,Status
Sound Awareness,Loud vs Soft,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Loud vs Soft,2,A1,A3,Loud vs Soft_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Loud vs Soft,3,A2,A4,Loud vs Soft_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Loud vs Soft,4,A2,A4,Loud vs Soft_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Long vs Short,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Long vs Short,2,A1,A3,Long vs Short_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Long vs Short,3,A2,A4,Long vs Short_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Long vs Short,4,A2,A4,Long vs Short_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Silence vs Sound,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Silence vs Sound,2,A1,A3,Silence vs Sound_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Silence vs Sound,3,A2,A4,Silence vs Sound_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Silence vs Sound,4,A2,A4,Silence vs Sound_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Same vs Different,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Same vs Different,2,A1,A3,Same vs Different_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Same vs Different,3,A2,A4,Same vs Different_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Same vs Different,4,A2,A4,Same vs Different_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Attack vs Smooth Beginning,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Attack vs Smooth Beginning,2,A1,A3,Attack vs Smooth Beginning_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Attack vs Smooth Beginning,3,A2,A4,Attack vs Smooth Beginning_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Attack vs Smooth Beginning,4,A2,A4,Attack vs Smooth Beginning_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Sustain vs Short Burst,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Sustain vs Short Burst,2,A1,A3,Sustain vs Short Burst_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Sustain vs Short Burst,3,A2,A4,Sustain vs Short Burst_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Sustain vs Short Burst,4,A2,A4,Sustain vs Short Burst_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Release Awareness,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Release Awareness,2,A1,A3,Release Awareness_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Release Awareness,3,A2,A4,Release Awareness_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Sound Awareness,Release Awareness,4,A2,A4,Release Awareness_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Higher vs Lower,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Higher vs Lower,2,A1,A3,Higher vs Lower_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Higher vs Lower,3,A2,A4,Higher vs Lower_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Higher vs Lower,4,A2,A4,Higher vs Lower_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Same Note Match,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Same Note Match,2,A1,A3,Same Note Match_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Same Note Match,3,A2,A4,Same Note Match_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Same Note Match,4,A2,A4,Same Note Match_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Pitch Memory,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Pitch Memory,2,A1,A3,Pitch Memory_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Pitch Memory,3,A2,A4,Pitch Memory_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Pitch Memory,4,A2,A4,Pitch Memory_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Small vs Big Interval Feel,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Small vs Big Interval Feel,2,A1,A3,Small vs Big Interval Feel_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Small vs Big Interval Feel,3,A2,A4,Small vs Big Interval Feel_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Small vs Big Interval Feel,4,A2,A4,Small vs Big Interval Feel_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Near vs Far Pitch Comparison,1,A0,A2,,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Near vs Far Pitch Comparison,2,A1,A3,Near vs Far Pitch Comparison_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Near vs Far Pitch Comparison,3,A2,A4,Near vs Far Pitch Comparison_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
Pitch Awareness,Near vs Far Pitch Comparison,4,A2,A4,Near vs Far Pitch Comparison_T3,Working scaffold — agency ranges/prerequisites still require curriculum review
Contour & Shape,Ascending vs Descending,1,A0,A2,Higher vs Lower_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Contour & Shape,Ascending vs Descending,2,A1,A3,Ascending vs Descending_T1,Working scaffold — agency ranges/prerequisites still require curriculum review
Contour & Shape,Ascending vs Descending,3,A2,A4,Ascending vs Descending_T2,Working scaffold — agency ranges/prerequisites still require curriculum review
