Node,Skill,Tier,AgeBand,PromptStyle,VisualApproach,Status
Sound Awareness,Loud vs Soft,1,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,1,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,1,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,2,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,2,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,2,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,3,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,3,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,3,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,4,2-3,"Simple words, expressive modeling, minimal text","Large icons, character animation, strong metaphors","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,4,4-5,"Short phrases, descriptive language",Icons + light text labels,"Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
Sound Awareness,Loud vs Soft,4,6-7,Musical vocabulary introduced,"Reduced metaphors, cleaner UI","Generic scaffold — prompt/visual must be refined per skill + tier; interaction demands come from Agency, not age"
