Node,Skill,Description
Sound Awareness,Loud vs Soft,Discriminate between loud and soft sounds (early dynamics awareness).
Sound Awareness,Long vs Short,Differentiate sustained sounds from short bursts.
Sound Awareness,Silence vs Sound,Recognize the presence or absence of sound.
Sound Awareness,Same vs Different,Identify whether two sounds are identical or different.
Sound Awareness,Attack vs Smooth Beginning,"Recognize sharp, accented starts versus gentle starts."
Sound Awareness,Sustain vs Short Burst,Differentiate held tones from quick sounds.
Sound Awareness,Release Awareness,Notice whether sounds stop abruptly or fade out.
Pitch Awareness,Higher vs Lower,Identify which of two notes is higher or lower.
Pitch Awareness,Same Note Match,Hear a note and select the matching pitch.
Pitch Awareness,Pitch Memory,Listen to a short tone sequence and identify or recall it.
Pitch Awareness,Small vs Big Interval Feel,Sense whether two notes are close together or far apart.
Pitch Awareness,Near vs Far Pitch Comparison,Compare pitch distances between notes.
Contour & Shape,Ascending vs Descending,Identify whether a melody moves upward or downward.
Contour & Shape,Contour Shape Match,"Match a melody to a visual shape (e.g., waterfall or rainbow)."
Contour & Shape,Stepwise vs Leaping Motion,Distinguish between smooth stepwise motion and larger jumps.
Contour & Shape,Mixed Contour Recognition,Recognize melodies that change direction (up then down).
Contour & Shape,Contour Imitation,Reproduce melodic shape through tapping or singing.
Rhythm & Timing,Steady Beat Feel,Develop awareness of a consistent pulse.
Rhythm & Timing,Tap Along to Pulse,Synchronize tapping or movement to a steady beat.
Rhythm & Timing,Accent on the Beat,Recognize and respond to strong beats.
Rhythm & Timing,Rhythm Echo,Listen to a short rhythmic pattern and imitate it.
Rhythm & Timing,Tempo Awareness,Distinguish between faster and slower speeds.
Rhythm & Timing,Count-and-Accent,Respond with an accented sound after a counted buildup.
Anticipation & Musical Punctuation,Call & Response Echo,Imitate a sound or phrase after a delay.
Anticipation & Musical Punctuation,Wait... BOO!,Anticipate a pause followed by a surprise accent.
Anticipation & Musical Punctuation,Variable Pause Recognition,Adjust to unpredictable pause lengths.
Anticipation & Musical Punctuation,Phrase Ending Recognition,Identify whether a musical phrase feels finished.
Anticipation & Musical Punctuation,Surprise Accent Detection,Notice unexpected accented sounds.
Tonal Contrast & Resolution,Mode Contrast,"Recognize differences in tonal color (e.g., bright/dark, major/minor)."
Tonal Contrast & Resolution,Resolution Awareness,Recognize tonal stability and whether music feels finished or unresolved.
Sound Making & Sound Shaping,Attack Control,Practice producing sharp or gentle sound beginnings.
Sound Making & Sound Shaping,Sustain Control,Hold a sound steadily for a duration.
Sound Making & Sound Shaping,Release Control,End a sound cleanly or smoothly.
Sound Making & Sound Shaping,Dynamic Control,Change volume gradually from soft to loud and back.
Sound Making & Sound Shaping,Shake the Sound,Sustain and play with vocal wobble or vibrato.
Sound Making & Sound Shaping,Lip Trills / Vocal Warmups,Explore airflow and vocal flexibility.
Sound Making & Sound Shaping,Vowel Shape Awareness,Notice how mouth shape affects sound quality.
Sound Making & Sound Shaping,Airflow Awareness,Feel breath support and air movement while producing sound.
Timbre & Instrument Awareness,Instrument Identification,Recognize different instruments by sound.
Timbre & Instrument Awareness,Same Note Different Instrument,Hear how the same pitch changes across instruments.
Timbre & Instrument Awareness,Instrument Family Recognition,Group instruments by shared characteristics.
Timbre & Instrument Awareness,Timbre Matching,Match sounds based on tone color.
Timbre & Instrument Awareness,Instrument Free Play,Explore instrument sounds in an open sandbox environment.
Guided Instrument Play,Follow the Dots (Single Notes),Play highlighted notes in sequence.
Guided Instrument Play,Follow Short Pattern,Perform a short guided melodic sequence.
Guided Instrument Play,Follow Phrase,Play a longer musical phrase with guidance.
Guided Instrument Play,Memory Replay,Watch a pattern once and replay from memory.
Guided Instrument Play,Expression While Playing,Incorporate dynamics or articulation while performing.
Guided Instrument Play,Remove Visual Scaffolds,Gradually play without visual cues.
Harmony & Chord Feel,Major vs Minor Chord Recognition,Identify emotional color of chords.
Harmony & Chord Feel,Chord Color Feel,Recognize distinct chord qualities by ear.
Harmony & Chord Feel,Sing Along With Chord,Match voice to sustained chord tones.
Harmony & Chord Feel,Root vs Non-Root Feel,Sense stability of chord tones.
Harmony & Chord Feel,Simple Resolution Feel,Hear basic harmonic movement and return to home.
Pitch Naming & Functional Hearing,Do-Re-Mi Association,Associate solfege syllables with pitches.
Pitch Naming & Functional Hearing,Melody Echo Using Solfege,Imitate melodies using solfege syllables.
Pitch Naming & Functional Hearing,Hear 'So' as Home,Develop awareness of tonal anchor tones.
Pitch Naming & Functional Hearing,Basic Interval Naming,Identify simple pitch intervals by name.
Pitch Naming & Functional Hearing,Moveable Do Awareness,Understand solfege in different tonal centers.
