Node,LearningGoal,Explanation
Sound Awareness,"Develop basic auditory discrimination and awareness of sound properties (volume, duration, presence, attack, release).","Children learn that sound has qualities — it can be loud, soft, long, short, sudden, smooth, or silent. This builds the foundation for all later musical perception."
Pitch Awareness,Recognize and compare differences in pitch without needing symbolic labels.,"Children learn to hear “higher vs lower,” match notes, and sense pitch distance. This builds relative pitch intuition before note names or theory."
Contour & Shape,Understand how melodies move through space over time.,"Children learn to perceive melodic direction and shape (up, down, arch, zigzag), connecting sound movement to visual and embodied metaphors."
Rhythm & Timing,"Develop awareness of pulse, timing, and rhythmic patterns.","Children learn to feel steady beat, anticipate accents, and imitate short rhythmic sequences. This builds temporal coordination and musical timing."
Anticipation & Musical Punctuation,"Recognize pauses, accents, and musical endings.","Children learn that silence, buildup, and resolution are meaningful parts of music. This builds anticipation, listening patience, and phrase awareness."
Tonal Contrast & Resolution,Perceive emotional color and tonal stability in music.,"Children learn to hear differences in mood (happy/sad), tension and release, and the feeling of “home” in a melody or chord progression."
Sound Making & Sound Shaping,Gain control over producing and shaping sound intentionally.,"Children learn to control attack, sustain, release, volume, airflow, and vocal expression. This builds embodied musicianship and expressive confidence."
Timbre & Instrument Awareness,Recognize and explore differences in sound color across voices and instruments.,Children learn that the same pitch can sound different depending on the instrument. This broadens listening skills beyond piano-centric hearing.
Guided Instrument Play,Translate listening and visual cues into coordinated musical execution.,"Children learn to follow patterns, sequence notes, and gradually perform simple musical phrases with expression."
Harmony & Chord Feel,Perceive how multiple notes combine vertically to create emotional color and stability.,"Children learn to hear chord quality (major/minor), chord movement, and the feeling of harmonic resolution."
Pitch Naming & Functional Hearing,"Connect pitch perception to symbolic language (e.g., solfege).",Children learn to associate sounds with names and understand tonal relationships within a scale.
